,image_id,question,question_id,answer
0,104406,Is there railing?,104406001,yes
1,201670,Is this midnight?,201670011,no
2,297426,What is the object in the lower right hand corner?,297426003,mouse
3,434958,What is the man holding?,434958001,cat
4,34452,Where are the rocks?,34452008,ground
5,380854,Is this a public restroom?,380854003,no
6,422640,What do the men have on their left hands?,422640000,baseball gloves
7,211825,Is the guy cutting something?,211825006,no
8,548592,What color is the grass?,548592002,yellow
9,39357,What is on his head?,39357001,hat
10,539791,What is the ground made of?,539791001,concrete
11,152336,What is she wearing?,152336001,scarf
12,319342,What color is his wetsuit?,319342007,red and blue
13,62549,Is the bird a carnivore?,62549016,yes
14,337818,Is this a farmers market?,337818007,no
15,440706,What kind of bird is perched on the branch?,440706003,blue
16,49450,Who is sitting down?,49450000,woman in black
17,199003,How many zebras are in this picture?,199003003,3
18,56504,How many sheep are in the photo?,56504001,2
19,66011,What color is the table?,66011000,brown
20,290843,What color is the cat?,290843000,white and brown
21,578236,What are the birds and lizard sitting on?,578236000,steps
22,11712,What is covering the window?,11712000,curtain
23,487925,Is this the World Series?,487925002,no
24,153524,How many computer monitors are on the desk?,153524004,2
25,561433,Does the driver need to stop?,561433002,yes
26,359140,Are there feces that did not make it into the toilet bowl?,359140002,no
27,153249,What is standing on the right?,153249002,light pole
28,306335,What is in the woman's hand?,306335001,tennis racket
29,346821,Is the pitcher wearing sunglasses?,346821001,yes
30,428658,Is this person an adult?,428658002,no
31,341603,What kind of bread is shown?,341603007,donut
32,550350,Is this dinner or a snack?,550350001,snack
33,529083,How many buses are on the bridge?,529083001,2
34,328301,What color is the car?,328301009,yellow
35,439715,What is the rider holding under their left arm?,439715004,sword
36,72342,How many clocks are there?,72342007,1
37,502570,What is she doing with her left hand?,502570003,balancing
38,325473,What is the girl holding?,325473000,hot dog
39,276580,What kind of game is taking place?,276580011,baseball
40,353969,What is the man's holding in the left arm?,353969000,nothing
41,307323,Are the curtains open?,307323004,no
42,16523,What room is this?,16523000,bathroom
43,157378,What is the color of the flowers?,157378001,yellow
44,297540,What website is advertised in the stadium?,297540005,best buy
45,199437,Are they all wearing different colors?,199437001,no
46,58006,What team is this?,58006006,pacific
47,373713,How many screens are there?,373713046,1
48,512911,What is in the boy's mouth?,512911001,pacifier
49,369373,Is this a happy couple?,369373001,yes
50,371841,What is this place sitting on?,371841000,lap
51,224093,What type of animals are roaming the field?,224093002,cows
52,557823,Is this a zebra?,557823007,no
53,236432,Is the pitcher left handed?,236432017,no
54,466921,What color is the line on the floor?,466921001,white
55,410484,What color is the thermos?,410484005,there is no thermos
56,243260,Are they playing a video game?,243260003,no
57,450599,What type of footwear is the man wearing?,450599000,sandals
58,476444,Can you see any plants?,476444009,no
59,230040,Is it getting dark?,230040004,no
60,481890,Does this bear have a tail?,481890001,yes
61,21639,What sweet treats are seen here?,21639005,cake
62,192554,Does this bathroom look clean?,192554000,yes
63,187384,What insect is resting on the orange?,187384003,butterfly
64,493019,How many zebras are there?,493019005,8
65,398554,Is this an old fashioned room?,398554000,no
66,477483,Are the women's eyebrows well-groomed?,477483000,no
67,387,Where is the black laptop?,387000,under phone
68,522612,How many steps?,522612000,4
69,484457,What holiday is it?,484457001,christmas
70,110027,Why is the table in the garage?,110027001,rented out garage
71,407970,What is the equipment on the floor used for?,407970002,refrigeration
72,147921,How many lampposts are there?,147921014,2
73,69015,What color is the computer?,69015005,silver
74,12375,Which vegetable will produce the most gas?,12375003,cabbage
75,414201,What pattern is on the woman who is standing's shirt?,414201009,flower
76,776,How many bears are there in the picture?,776002,3
77,546760,What are the stick figures in this photo doing?,546760003,skiing
78,395550,What does the cat have on the couch?,395550002,remote
79,228504,Are the people in this picture at work?,228504000,no
80,575500,What color are the plantains?,575500002,green
81,269736,Do they all have cameras?,269736001,yes
82,345288,Is the man skiing?,345288000,no
83,19079,How many hydrants are pictured?,19079002,4
84,505849,Is there a mirror?,505849001,yes
85,305135,Is there a gas station nearby?,305135000,yes
86,61507,Are the people gathered to watch a parade?,61507002,no
87,507887,What kind of pizza is pictured?,507887001,ham
88,476398,What is this person's gender?,476398026,female
89,298186,Is this a farm?,298186002,yes
90,32577,Where is the racket?,32577002,her hand
91,432906,Is the cat happy?,432906006,yes
92,441511,How many people are in the photo?,441511015,3
93,434060,What are the sheep standing on?,434060004,field
94,306914,Is this indoors or outdoors?,306914002,outdoors
95,209286,What are the dogs doing?,209286014,eating
96,191738,Is the cat comfortable?,191738000,yes
97,11156,What's the color of the purse?,11156003,red
98,147736,What method was used to spread the cheese on the chili dog?,147736000,put it on there by hand
99,102400,Where is the bus?,102400000,parked
100,8181,How many bikes?,8181011,1
101,344878,What bank is sponsoring this game?,344878001,bank of america
102,118788,What kind of food is on the plate?,118788005,brown
103,313145,Is the man hurt?,313145000,no
104,468171,How many pillows are on the bed?,468171002,3
105,139097,Is there more than one mirror?,139097004,no
106,288075,What year does it say in the bottom corner?,288075001,no year
107,569850,What is the structure of the building?,569850020,house
108,579664,Are there leaves on the trees?,579664002,yes
109,311883,Is this train moving?,311883003,yes
110,386645,What kind of characters are on the building?,386645000,chinese
111,135497,Does the man have a beard?,135497002,yes
112,150843,What color is the oven?,150843001,black
113,130030,How many chairs are at the table?,130030001,2
114,157789,Is that cauliflower?,157789001,no
115,219426,What color is the horse?,219426002,white
116,426546,What is the orange vegetable called?,426546004,pepper
117,525665,What kind of building are the cows in?,525665006,beach
118,251195,What kind of cell phone is she holding?,251195009,samsung
119,116434,What time of day is it?,116434001,sunset
120,341712,What color is the woman's top?,341712002,pink
121,268350,Is this a waiting lounge?,268350003,no
122,353595,What Indian leader popularized this man's style of collar?,353595002,gandhi
123,212842,Is the tree alive or dead?,212842001,dead
124,567077,Is the sign hanging?,567077002,no
125,376990,Is the girl excited to have the hot dog?,376990007,no
126,483469,Can a semi-truck fit under the bridge?,483469005,no
127,111180,Is the terrain rugged?,111180002,no
128,439715,What is the other color on the blanket beside yellow?,439715006,black
129,170116,Who are the people in the photographs?,170116000,friends
130,552364,What kind of weather is this?,552364003,sunny
131,520832,How many people are in the photo?,520832000,1
132,361751,How many benches are there?,361751001,2
133,315773,What is with the man?,315773000,sled
134,280017,What colors is this bird?,280017003,white and gray
135,133050,Do you see any bread?,133050005,no
136,385320,Do you see a cell phone?,385320005,no
137,70190,Is there a fire in this photo?,70190007,no
138,574069,Are these two men performing the same activity?,574069002,no
139,510395,Is this a farm?,510395005,yes
140,127092,When does school begin?,127092045,8
141,238836,What is the white blob in the sky?,238836000,sun
142,6673,How many flowers are in the bottle?,6673005,1
143,19253,What is the fabric type called that is made from the fleece of the creatures in this picture?,19253002,wool
144,194167,What is the giraffe grazing?,194167005,grass
145,406129,What sport is he playing?,406129000,tennis
146,513604,Is she eating alone?,513604006,no
147,372654,What holiday is being celebrated?,372654019,birthday
148,207275,Where is the man playing a game?,207275006,living room
149,577893,What color are the players shorts?,577893017,white
150,362696,When can you turn left onto Park Ave?,362696000,no
151,457217,What is the weight difference between the elephant and the lady?,457217000,500 pounds
152,496554,What is the color of the spots on the giraffe?,496554003,brown
153,38630,Is the toilet seat down?,38630019,yes
154,374043,What kind of refrigerator is in the kitchen?,374043005,white
155,329806,What street is this?,329806001,williams st
156,103272,What kind of truck is this?,103272001,dump
157,277761,Will this be a fielder hit?,277761000,yes
158,426635,What other name than soccer is this?,426635002,football
159,200381,What is the man on the right smiling about?,200381019,food
160,574810,Where is the cat sitting?,574810000,window ledge
161,199842,Why is the bus on the left side of the road?,199842003,driving on road
162,292158,How many people are in this scene?,292158007,3
163,580720,Are the people sitting on grass or sand?,580720002,sand
164,213649,What time is it in the picture?,213649013,1:31
165,254789,Is this a main thoroughfare?,254789019,no
166,521282,What color is the middle of the flower?,521282031,yellow
167,360762,What is the bear sitting in?,360762002,basket
168,349098,What season was this photo likely taken in?,349098004,winter
169,569758,What color is the grass?,569758002,green
170,578675,Does either of the men have a beard?,578675002,yes
171,91667,Is this demonstration in a Northern climate?,91667002,no
172,31730,Is the floor wood?,31730002,no
173,34754,Is he going to hit the ball?,34754001,yes
174,190391,What type of container is the hot dog in?,190391000,paper
175,564934,What is the word on the front of the train?,564934006,shepperton
176,57244,Is that a house?,57244002,no
177,364307,Do the gnomes look like an afterthought?,364307007,yes
178,489235,How many laptops do you see?,489235006,1
179,252332,What should you do when you see a sign like this?,252332000,stop
180,165419,What color is the sky?,165419002,blue
181,551358,What color is the curtain?,551358000,red
182,40989,Why do they have umbrellas?,40989003,sun
183,201120,What's on the floor?,201120004,rug
184,551459,Is this elephant full grown?,551459007,no
185,3466,Are the shoes tied?,3466002,yes
186,227019,Is he practicing baseball?,227019004,yes
187,28702,Is the man looking out the window?,28702010,yes
188,501824,What type of transportation is this?,501824000,train
189,168714,Is there anyone waiting at the bus stop?,168714001,no
190,355785,What are the kids playing?,355785001,baseball
191,157206,How many bags are pictured?,157206001,6
192,461172,How many fruits and how many vegetables are there?,461172002,4 fruit 2 vegetable
193,189752,What is the person drinking?,189752001,beer
194,403710,What color is the surfboard?,403710001,red
195,259233,Does this look like a healthy meal?,259233003,yes
196,274612,How many umbrellas are there?,274612003,2
197,359097,What color is the mouse?,359097001,black
198,369386,Is the lid opened or closed?,369386000,open
199,327089,Does the bus like the kids?,327089002,yes
200,412658,What number player is at bat in this baseball game?,412658000,16
201,478821,Is there a mirror anywhere in the picture?,478821003,yes
202,383087,Where did this woman buy this shirt?,383087010,store
203,21924,Is this person a loner?,21924002,no
204,149232,Is the umbrella thorn?,149232001,no
205,310882,Is this hitter right or left handed?,310882000,left
206,554433,Does the man have any facial hair?,554433000,yes
207,19304,Which animal is more aggressive in the photo?,19304000,cat
208,460379,How many giraffes are there?,460379002,3
209,386291,Is this in a city?,386291001,yes
210,275695,What level of building is this likely on?,275695000,1st
211,61782,Are the doors open?,61782004,yes
212,551086,What are they standing on?,551086000,ground
213,107340,What image is the mirror reflecting?,107340002,wall
214,432898,What is he trying to avoid?,432898023,kite
215,147128,Is there water nearby?,147128002,yes
216,350833,How many baskets are in the picture?,350833004,0
217,274864,How many clocks?,274864007,1
218,75032,What color is the shirt?,75032000,white
219,534178,How many photos are there?,534178001,2
220,207239,Is this man wearing a hat?,207239002,no
221,472030,What is the bench used for?,472030006,sitting
222,474906,Can you see hills?,474906018,no
223,137803,In black and white?,137803001,yes
224,160186,Where has the man gone?,160186002,refrigerator
225,335981,Is everybody in the picture looking at the camera?,335981002,no
226,468277,What is the countertop made of?,468277000,formica
227,399452,What kind of bread is the sandwich made of?,399452001,white
228,401250,Is she upside down?,401250001,yes
229,328957,What is the purpose of the post?,328957001,scratching
230,536110,What color is the sky?,536110018,blue
231,520430,Does this woman look happy?,520430001,yes
232,252911,Is this the handlebar of a motorcycle?,252911007,yes
233,204611,How many planes can you see?,204611000,3
234,236714,Is it likely this bench has seen several or more winters?,236714004,yes
235,218189,What is flying in the sky?,218189011,kites
236,48376,Is this a zoo?,48376002,no
237,312416,What color is the bill of the batting helmet?,312416003,yellow
238,58651,What color is the train?,58651000,green
239,190722,How many comps are there?,190722007,2
240,334276,Is there a turn arrow?,334276014,yes
241,560566,What time do the clock faces read in the photo?,560566000,7:45
242,468751,What is the woman doing to her hair?,468751000,nothing
243,77754,Is the border wearing a backpack?,77754000,no
244,9262,What company makes these bears?,9262008,teddy bears picnic
245,36522,What is the red thing?,36522006,suitcase
246,575349,Is anyone else in the room?,575349001,yes
247,365655,What company makes this bus?,365655001,brewster
248,464857,Are there tattoos?,464857005,no
249,432702,Is this a car?,432702006,yes
250,225943,What is on the table?,225943008,food
251,266932,What is in the blue container?,266932004,vanilla
252,78266,Where is the fire extinguisher?,78266001,against white wall
253,527603,How many chairs can be seen in the mirror's reflection?,527603009,0
254,189305,Are these two people kids?,189305020,no
255,476398,Are the girls sitting on a railing?,476398019,no
256,461036,What is the animal in the background?,461036004,bear
257,181030,What color are the vegetables?,181030000,red
258,80949,Is the cat overweight?,80949005,no
259,2153,Has the batter already swung the bat?,2153000,no
260,471858,What color is the motorcycle?,471858006,black
261,265256,What flag is the kite styled after?,265256002,united states
262,456239,What is she holding on her hand?,456239001,umbrella
263,87456,Who is watching the TV?,87456002,cat
264,515682,Is the kite big?,515682001,yes
265,113294,How many people are pictured?,113294000,1
266,562370,What color is the grass?,562370003,green
267,444324,Is this man sad?,444324031,no
268,507536,What kind of meat is next to the broccoli?,507536000,chicken
269,189452,What color do most of these people wear?,189452007,white
270,188183,What game system are these men playing?,188183002,wii
271,203639,Where is the belt?,203639002,waist
272,572900,How many people are in the image?,572900007,3
273,188866,What color is the boys hair?,188866002,brown
274,348379,What type of demonstration is this?,348379002,stop evictions
275,78865,Is the ground bare?,78865000,no
276,178028,Is the hair dryer usually in a drawer?,178028001,no
277,33005,Why is the player looking backwards?,33005005,he isn't
278,425569,Where are cookware in the picture?,425569000,kitchen
279,37875,Is he on the phone?,37875022,no
280,186412,Where are the people at?,186412000,garage
281,422700,What kind of event are the people involved in?,422700033,feeding baby
282,356043,Is the man in a bathroom?,356043003,no
283,154520,Is the guy on the ground?,154520051,yes
284,110997,How many birds are flying?,110997004,7
285,354368,Is this a nice day?,354368004,no
286,202470,What is the building made out of?,202470002,brick
287,280347,What are the birds hovering above?,280347000,ocean
288,22861,What type of pizza was ordered?,22861000,pepperoni
289,69842,Is this photo blurred?,69842002,no
290,88848,How many photos in one?,88848000,4
291,538963,Where is the laptop?,538963002,bed
292,24104,How many monitors are there?,24104001,3
293,441840,Is the bat in motion?,441840007,yes
294,491556,What color are the seats?,491556002,red
295,416476,Is this bear black?,416476007,no
296,339245,What color is the batter's helmet?,339245002,black
297,43286,Is this train departing?,43286011,yes
298,552942,Is the dog wearing something?,552942001,yes
299,395083,How many trees are in the picture?,395083006,10
300,330911,Is this picture black and white?,330911002,no
301,432276,Is it a hot day?,432276002,yes
302,416774,Why is there a bar on the wall?,416774003,handicap
303,492608,What season is this?,492608009,summer
304,370561,Is the man sitting in the sun?,370561000,no
305,281766,How many people are on bikes?,281766001,1
306,38775,Is the elephant drinking water?,38775002,no
307,425573,Is there lots of dry grass surrounding the zebra?,425573005,yes
308,574392,What color are the flowers?,574392009,red
309,168890,Does this bike belong to a woman?,168890000,yes
310,479099,What color is the grass?,479099001,green
311,160308,How many floors does the building have?,160308004,10
312,111988,Is there people here?,111988000,no
313,354724,How many cars are visible?,354724002,3
314,294032,Is he eating alone?,294032002,no
315,29596,Is there a TV in this room?,29596002,yes
316,480421,Is there towel hanging?,480421006,yes
317,37322,What are the  colors of the bikes?,37322004,orange
318,75162,Where is the fence?,75162002,behind zebra
319,427997,Are these children?,427997008,no
320,9270,What dessert is on the girl's shirt?,9270000,cake
321,528604,Is the baby asian?,528604006,no
322,122549,Is the guy yawning?,122549013,no
323,222054,What kind of truck is this?,222054000,bus
324,368294,How many people do you see?,368294018,1
325,324776,Is the man on the horse skinny?,324776000,no
326,115885,Was the cat using the laptop?,115885008,no
327,58651,Is this a major city?,58651002,no
328,242724,What do the riders wear?,242724002,bikinis
329,78671,What's the number on the back of the player in the middle?,78671004,51
330,353624,Are they  in the Safari?,353624009,yes
331,219655,What does the license plate say?,219655007,god is my co-pilot
332,374649,How many pieces of luggage?,374649002,4
333,420826,Was this picture taken before 3:00 pm?,420826002,no
334,285967,Is he out of bounds?,285967002,yes
335,206135,Are the cattle dairy or beef cattle?,206135001,dairy
336,465996,Which way is the wind blowing in the distance?,465996000,left
337,18531,Does this meal look healthy?,18531001,yes
338,314880,What is the number on the back of the man's shirt?,314880003,7
339,158722,Is it raining?,158722010,no
340,573536,What is written on the girl's shirt?,573536015,bakery
341,15778,Is the hoodie luminous?,15778005,no
342,283152,How many dogs are on the bed?,283152004,3
343,171932,Does the background look like a big city or a small town?,171932007,big city
344,55432,What does it say on the first plane?,55432000,1 world
345,526028,Has any of this meal been eaten?,526028000,no
346,322357,Is this man falling?,322357001,no
347,563267,Is there a chalkboard on the wall?,563267002,yes
348,508541,How many bikes are in the image?,508541002,2
349,405648,What is this person wearing on her head?,405648014,hat
350,568333,Is this person's shirt completely buttoned?,568333001,no
351,210795,Is it likely her laptop is running a Microsoft operating system?,210795000,no
352,105432,What are the birds hovering above?,105432001,boat
353,109012,Is this a densely urban area?,109012006,yes
354,528225,What clothing material do these animals provide?,528225004,leather
355,273323,What color is the mast of the sailboat?,273323001,white
356,551358,What color is the bed?,551358003,white
357,280083,What is the girl eating?,280083010,pizza
358,420347,Is the man using a microphone?,420347005,no
359,282680,What might make you think the photographer is French?,282680006,watermark
360,78865,Is this grass lush?,78865003,yes
361,173245,Who is in the air?,173245003,snowboarder
362,194012,What color is the tie?,194012003,red
363,181805,What is attached to the woman's leg?,181805003,surfboard
364,326919,Where is this?,326919000,airport
365,398174,Are the trees barren of leaves?,398174002,no
366,143458,What is between the man and the woman?,143458009,people
367,396209,Is this America?,396209002,no
368,188044,How many people are in the image?,188044003,2
369,50201,What color is the tablecloth?,50201002,white
370,314112,Does the man have bandages on?,314112020,no
371,32577,What sport is being played?,32577003,tennis
372,511066,Is it a male or female standing by the surfboard?,511066001,female
373,463303,What is the rust colored thing in the photo?,463303002,fire hydrant
374,47781,Is this room messy?,47781003,no
375,340305,How many animals are shown?,340305002,3
376,293200,What are the people doing?,293200000,flying kites
377,509404,What colors are the train?,509404001,blue and yellow
378,495734,What are the giraffe doing?,495734001,walking
379,510343,What is the color of the train?,510343003,yellow
380,565715,Is the flower on the vase the same as the flowers in the vase?,565715002,no
381,336309,Is it a cloudy day?,336309009,yes
382,269395,What kind of food is in the pan?,269395001,soup
383,306611,Is this guy going to jump high?,306611001,yes
384,302842,What color are the flowers?,302842004,red
385,20947,Is there a windmill in this picture?,20947003,yes
386,82551,What character is shown on the guy's shirt?,82551003,eeyore
387,504585,What color is the man's shirt?,504585006,white
388,573536,What room is he in?,573536009,conference room
389,160308,How many flags are in the picture?,160308007,0
390,368294,Does this girl's shirt button?,368294030,no
391,357081,Is there a fence?,357081002,no
392,568290,Where is this bus headed?,568290008,downtown
393,187513,What color is the shower curtain?,187513001,white
394,477940,How many people are shown?,477940003,1
395,23954,What kind of animals are there in the picture?,23954001,zebras
396,568337,What letter is in the circle on the table?,568337001,h
397,227359,Is this young man at home?,227359001,no
398,90373,What color is the sky?,90373007,blue
399,194525,What sport is this?,194525004,skiing
400,329307,Is he buying?,329307001,no
401,44524,How many zebras are shown?,44524001,3
402,573206,What color is the granite countertop?,573206001,green
403,573823,Are the television and the laptop displaying the same image?,573823001,no
404,431140,Is the toilet seat wet?,431140001,no
405,502136,How many vases are here?,502136002,2
406,200638,What color are the chairs?,200638002,blue
407,317330,What is the strength of his glasses?,317330001,prescription
408,242365,How tall is the woman?,242365000,5 foot
409,295308,Is he doing a trick?,295308001,no
410,306585,How old is child?,306585004,4
411,294992,How many red pillows can be seen?,294992008,0
412,495054,Is this plan landing or taking off?,495054014,landing
413,494555,What color is the building in the background?,494555002,yellow
414,527625,Is this bird a pigeon?,527625002,no
415,36032,What is the website name on the picture?,36032001,wwwsickriderscom
416,532761,Is the room yellow?,532761023,yes
417,53490,Is the man looking down?,53490000,no
418,54305,Is this giraffe stuffed?,54305003,no
419,201555,What word is on the billboard?,201555002,grand national blvd
420,76521,What color is the man's jacket?,76521002,black
421,113049,Does she have braces?,113049002,no
422,418512,Where is this place?,418512001,canada
423,539143,Where is the train on the tracks?,539143007,under bridge
424,116786,Would it be a good idea to put goldfish inside the open part of this fixture?,116786000,no
425,162763,Is this wheel properly inflated?,162763001,yes
426,541917,What is the chair made of?,541917001,wood
427,313398,What is this animal?,313398000,otter
428,383413,What are they eating?,383413002,wood
429,84244,Is this a soup?,84244000,no
430,528225,Are the animals in the water?,528225011,no
431,321692,Are there two horses?,321692000,no
432,84454,Who made the bed?,84454001,owner
433,148280,What is the vehicle in?,148280001,parking lot
434,284097,What is the kid holding?,284097011,bat
435,4576,Is it daytime or nighttime?,4576003,daytime
436,38630,Is this clean for a public restroom?,38630036,no
437,237501,What is the teddy bear on the right holding?,237501001,guitar
438,272673,Which room is this?,272673007,bathroom
439,362289,Where is the cat?,362289021,on leg
440,377802,Was this picture taken in a park?,377802007,yes
441,369482,What does the crosswalk signal mean?,369482000,stop
442,239194,Are there more than one type of wild animal?,239194002,yes
443,292158,Where was this picture taken?,292158021,beach
444,422640,What sport is this?,422640001,baseball
445,177802,What color is the pillow?,177802014,brown
446,467966,Is the planes prop spinning?,467966012,no
447,352582,Is this man holding the Frisbee with one or two hands?,352582008,1
448,321242,What is the silver object?,321242003,microwave
449,91517,Is this picture ironic?,91517003,yes
450,327401,What type of bird is this?,327401004,parrot
451,348730,Which direction is the sun?,348730006,right
452,198530,How Many people are on skis?,198530004,2
453,119038,Where are the cows?,119038004,in pasture
454,440779,Is the photo black and white?,440779000,no
455,64300,What kind of bird is this?,64300001,pelican
456,15984,What color are the cow's eyes?,15984003,brown
457,451104,What is this person doing?,451104001,snow blowing
458,443737,What words are on this plane?,443737002,can't see
459,481582,Is this an urban area?,481582000,no
460,464858,Is there a column in the picture?,464858002,yes
461,325043,Are the people professional players?,325043012,no
462,434735,What sort of animals are these?,434735005,giraffe
463,46331,Is his uniform of one color?,46331002,no
464,380913,What color shirt is the person to the farthest right wearing?,380913001,pink
465,285,Is the bears eyes open?,285002,yes
466,267123,How many adults are there?,267123001,0
467,310094,What is this a photo of?,310094001,bananas
468,252911,What is the man riding?,252911003,motorcycle
469,329789,Where is the man?,329789002,dorm room
470,139099,Is it hot or cold outside?,139099007,hot
471,342260,What covers the ground?,342260003,snow
472,357578,What type of vehicle is this?,357578015,fire truck
473,108326,Where would this be displayed?,108326001,zoo
474,203085,What is the man doing?,203085004,using bathroom
475,302252,What is the guy riding?,302252000,surfboard
476,25453,What kind of vehicle is in the front of the photo?,25453002,truck
477,172201,How many trucks are on the road?,172201000,2
478,34452,Is the man sitting down?,34452007,no
479,267088,What are these animals doing?,267088005,standing
480,175197,How many windows are in the first train?,175197001,4
481,548485,Is the toilet seat up or down?,548485001,up
482,170127,Is this man playing frisbee?,170127008,no
483,303566,How many fruits and veggies are there?,303566004,lot
484,150080,What toppings does the pizza have?,150080000,"pepper, cheese, pepperoni"
485,454148,Is he wearing a lanyard?,454148002,no
